season,week,posteam,defteam,full_player_name,position,xFP_nonQB,ffpts_total_nonQB,xFP_left_short,xFP_middle_short,xFP_right_short,xFP_left_inter,xFP_middle_inter,xFP_right_inter,xFP_left_deep,xFP_middle_deep,xFP_right_deep
2019,3,DEN,GB,Royce Freeman,RB,0.5663147568702698,1.3,0,0,1.3,0,0,0,0,0,0
2019,3,DEN,GB,Phillip Lindsay,RB,0.7159795761108398,0.6000000000000001,0.6000000000000001,0,0,0,0,0,0,0,0
2019,3,DEN,GB,Royce Freeman,RB,0.8458389043807983,0,0,0,0,0,0,0,0,0,0
2019,3,DEN,GB,Emmanuel Sanders,WR,2.2073779106140137,0,0,0,0,0,0,0,0,0,0
2019,3,DEN,GB,Phillip Lindsay,RB,1.1214134693145752,0.5,0.5,0,0,0,0,0,0,0,0
2019,3,GB,DEN,Aaron Jones,RB,0.37232816219329834,0.30000000000000004,0.30000000000000004,0,0,0,0,0,0,0,0
2019,3,GB,DEN,Aaron Jones,RB,1.3933101892471313,1.4,0,0,0,0,0,1.4,0,0,0
2019,3,GB,DEN,Marquez Valdes-Scantling,WR,1.282511830329895,0,0,0,0,0,0,0,0,0,0
2019,3,GB,DEN,Aaron Jones,RB,1.4496028423309326,-0.2,0,0,-0.2,0,0,0,0,0,0
2019,3,GB,DEN,Aaron Jones,RB,1.3453415632247925,6.7,0,6.7,0,0,0,0,0,0,0
2019,3,DEN,GB,Royce Freeman,RB,0.4912150502204895,0.4,0.4,0,0,0,0,0,0,0,0
2019,3,DEN,GB,Royce Freeman,RB,1.4183732271194458,0.5,0,0,0.5,0,0,0,0,0,0
2019,3,DEN,GB,Phillip Lindsay,RB,0.5708160996437073,0.7000000000000001,0,0,0.7000000000000001,0,0,0,0,0,0
2019,3,GB,DEN,Jamaal Williams,RB,0.45485222339630127,0.6000000000000001,0,0.6000000000000001,0,0,0,0,0,0,0
2019,3,DEN,GB,Phillip Lindsay,RB,0.4510023593902588,0.4,0,0.4,0,0,0,0,0,0,0
2019,3,DEN,GB,Phillip Lindsay,RB,0.4885224997997284,0.4,0.4,0,0,0,0,0,0,0,0
2019,3,DEN,GB,Noah Fant,TE,1.3612110614776611,1.4,0,0,0,0,0,1.4,0,0,0
2019,3,GB,DEN,Marquez Valdes-Scantling,WR,1.4291653633117676,1.9,0,0,0,1.9,0,0,0,0,0
2019,3,GB,DEN,Marquez Valdes-Scantling,WR,2.354853630065918,0,0,0,0,0,0,0,0,0,0
2019,3,GB,DEN,Aaron Jones,RB,3.5225424766540527,6.1,0,0,6.1,0,0,0,0,0,0
2019,3,DEN,GB,Royce Freeman,RB,0.5072450637817383,1.2000000000000002,1.2000000000000002,0,0,0,0,0,0,0,0
2019,3,DEN,GB,Royce Freeman,RB,0.5014827847480774,-0.1,0,0,-0.1,0,0,0,0,0,0
2019,3,DEN,GB,Phillip Lindsay,RB,1.4479213953018188,4.6,4.6,0,0,0,0,0,0,0,0
2019,3,DEN,GB,Courtland Sutton,WR,1.9616984128952026,0,0,0,0,0,0,0,0,0,0
2019,3,DEN,GB,Phillip Lindsay,RB,0.5550647377967834,0.4,0.4,0,0,0,0,0,0,0,0
2019,3,DEN,GB,Courtland Sutton,WR,1.3485772609710693,1.6,0,0,0,0,0,1.6,0,0,0
2019,3,DEN,GB,Royce Freeman,RB,0.6225119829177856,0,0,0,0,0,0,0,0,0,0
2019,3,DEN,GB,Jeff Heuerman,TE,1.4543018341064453,2,0,0,0,0,0,2,0,0,0
2019,3,DEN,GB,Royce Freeman,RB,1.278739333152771,0.5,0,0,0.5,0,0,0,0,0,0
2019,3,DEN,GB,Phillip Lindsay,RB,2.283757209777832,0.2,0.2,0,0,0,0,0,0,0,0
2019,3,DEN,GB,Courtland Sutton,WR,2.3320672512054443,0,0,0,0,0,0,0,0,0,0
